47118037	k__Animalia; p__Chordata; c__Actinopterygii; o__Acipenseriformes; f__Acipenseridae; g__Acipenser; s__ruthenus
835387548	k__Animalia; p__Chordata; c__Actinopterygii; o__Acipenseriformes; f__Acipenseridae; g__Acipenser; s__sturio
597440506	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__anguilla
597440870	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__anguilla
597441066	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__anguilla
2583636184	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Congridae; g__Conger; s__conger
1096114213	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Derichthyidae; g__Nessorhamphus; s__ingolfianus
405779026	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Derichthyidae; g__Nessorhamphus; s__ingolfianus
223674764	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Muraenidae; g__Muraena; s__helena
1918447694	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Avocettina; s__infans
332518812	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Avocettina; s__infans
985564886	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Avocettina; s__infans
13928320	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Nemichthys; s__scolopaceus
2174708199	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Nemichthys; s__scolopaceus
2497635832	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Nemichthys; s__scolopaceus
271280489	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Nemichthys; s__scolopaceus
405779053	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Nemichthys; s__scolopaceus
985564885	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Nemichthyidae; g__Nemichthys; s__scolopaceus
2333440988	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Serrivomeridae; g__Serrivomer; s__beanii
33337802	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Histiobranchus; s__bathybius
405779060	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Simenchelys; s__parasitica
985564879	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Simenchelys; s__parasitica
1102318232	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Synaphobranchus; s__kaupii
2333440994	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Synaphobranchus; s__kaupii
45259663	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Synaphobranchus; s__kaupii
985564876	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Synaphobranchus; s__kaupii
985566090	k__Animalia; p__Chordata; c__Actinopterygii; o__Anguilliformes; f__Synaphobranchidae; g__Synaphobranchus; s__kaupii
1209184411	k__Animalia; p__Chordata; c__Actinopterygii; o__Atheriniformes; f__Atherinidae; g__Atherina; s__boyeri
1293099600	k__Animalia; p__Chordata; c__Actinopterygii; o__Atheriniformes; f__Atherinidae; g__Atherina; s__boyeri
2018537098	k__Animalia; p__Chordata; c__Actinopterygii; o__Atheriniformes; f__Atherinidae; g__Atherina; s__boyeri
2048073550	k__Animalia; p__Chordata; c__Actinopterygii; o__Atheriniformes; f__Atherinidae; g__Atherina; s__boyeri
297655393	k__Animalia; p__Chordata; c__Actinopterygii; o__Atheriniformes; f__Atherinidae; g__Atherina; s__boyeri
297655394	k__Animalia; p__Chordata; c__Actinopterygii; o__Atheriniformes; f__Atherinidae; g__Atherina; s__boyeri
806392188	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Alepisauridae; g__Alepisaurus; s__ferox
985567126	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Alepisauridae; g__Alepisaurus; s__ferox
985567127	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Alepisauridae; g__Alepisaurus; s__ferox
806392090	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Bathysauridae; g__Bathysaurus; s__ferox
2333440981	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Notosudidae; g__Scopelosaurus; s__lepidus
1918447548	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Paralepididae; g__Arctozenus; s__risso
2333440916	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Paralepididae; g__Arctozenus; s__risso
2497635833	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Paralepididae; g__Arctozenus; s__risso
2580283247	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Paralepididae; g__Arctozenus; s__risso
1918447608	k__Animalia; p__Chordata; c__Actinopterygii; o__Aulopiformes; f__Paralepididae; g__Magnisudis; s__atlantica
